國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
美國,天后小助理,2020/06/24,1,31,"3,410","35,968","8,124,313"
美國,最瘋狂的旅程,2020/06/19,1,36,"3,940","5,043","910,975"
美國,敢殺就來,2020/06/05,1,17,"1,530","2,601","484,940"
美國,1/2的魔法,2020/05/22,7,502,"35,215","273,908","63,167,549"
日本,說再見前的30分鐘,2020/05/22,1,26,"4,160","1,234","278,592"
挪威,奪命隧道,2020/05/15,1,300,"66,000","30,415","6,611,483"
英國,海邊走走,2020/05/15,1,21,"3,120","3,356","684,865"
澳洲,小魔花,2020/04/01,1,13,"1,950","1,281","272,954"
德國,不愛鋼琴師,2020/03/20,1,33,"5,020",978,"205,615"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,34,"1,106","255,436","337,885","78,556,796"
日本,巧虎電影 英雄遊樂園,2020/01/17,12,65,"15,657","22,305","5,293,544"
南韓,82年生的金智英,2019/11/22,1,131,"34,000","142,769","32,883,942"
日本,小小夜曲,2019/11/22,1,14,"2,730","1,152","257,802"
美國,AI終結戰,2019/06/19,1,113,"10,050","8,362","1,645,013"
日本,漫長的告別,2019/04/19,1,8,"2,080","4,352","912,506"
加拿大,哈柏太空之旅 3D,2019/02/04,1,0,0,679,"99,680"
加拿大,深海獵奇 3D,2019/02/03,1,0,0,"1,290","160,564"
法國,不玩美女人,2017/12/08,1,1,190,322,"62,295"
法國,狂舞摯愛,2017/05/05,1,0,0,"1,463","291,020"
中國大陸,急先鋒,2015/12/24,44,"1,404","317,243","20,382","4,657,541"
中華民國,無聲,2008/10/09,59,"32,242","7,660,822","32,242","7,660,822"
日本,His,1999/07/03,11,306,"72,617",814,"195,443"
匈牙利,鋼琴師,1997/03/08,3,8,"1,630","1,647","353,966"
美國,剪刀手愛德華,1991/04/25,6,152,"32,910","1,523","334,205"
美國,銀翼殺手最終版,1983/10/22,2,233,"12,405","8,070","1,873,404"
國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
日本,蠟筆小新：謎案！天下春日部學院的怪奇事件,2021/09/24,58,"19,635","4,927,746","39,323","9,831,021"
美國,疾凍救援,2021/09/24,69,"10,653","2,504,872","24,403","5,763,365"
日本,Fate/Grand Order-神聖圓桌領域卡美洛-Paladin; Agateram-,2021/09/24,29,"3,133","793,802","6,646","1,679,433"
南韓,逃出摩加迪休,2021/09/24,40,"3,324","790,647","7,240","1,750,898"
美國,高玩殺手,2021/09/24,70,"1,802","413,461","4,844","1,139,392"
香港,金錢帝國：追虎擒龍,2021/09/24,62,"1,495","344,500","3,686","857,260"
英國,鬼把戲,2021/09/24,17,386,"93,183",993,"241,800"
義大利,惡靈陷阱,2021/09/24,11,166,"40,820",421,"103,111"
巴西,咖啡莊園的亡靈,2021/09/24,9,167,"32,705",325,"64,946"
美國,彩虹小馬：活力新生代,2021/09/24,9,123,"29,360",267,"64,190"
美國,異類崛起,2021/09/24,5,57,"13,010",142,"31,998"
日本,幽靈戀上我,2021/09/24,2,5,"1,135",13,"2,765"
美國,汪汪隊立大功電影版,2021/09/17,72,"12,107","2,937,154","49,603","12,053,189"
美國,密弒遊戲2：勝者危亡,2021/09/17,92,"3,896","947,330","31,964","7,771,005"
美國,吸血鬼獵人D,2021/09/17,17,622,"150,930","3,485","862,958"
