國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
中華民國,該死的阿修羅,2022/03/11,4,227,"51,535","12,685","3,006,002"
中華民國,愛別離苦,2022/02/18,1,131,"28,820","6,844","1,509,497"
中華民國,我吃了那男孩一整年的早餐,2022/01/28,21,186,"43,668","300,572","72,588,676"
中華民國,我記得,2021/12/24,6,62,"14,255","2,134","461,278"
中華民國,月老,2021/11/24,6,533,"41,066","1,090,668","264,268,273"
中華民國,詭扯,2021/11/12,48,"20,086","4,858,607","38,661","9,332,227"
中華民國,文林銀行,2021/11/12,9,455,"107,605",697,"164,705"
中華民國,地球迷航,2021/11/05,18,"1,255","281,644","5,184","1,179,769"
中華民國,在他的獎牌中迷惘,2021/11/05,6,330,"52,850","1,217","194,320"
中華民國,瀑布,2021/10/29,88,"11,849","2,829,267","83,983","20,126,922"
中華民國,老鷹之手,2021/10/29,8,388,"86,455","5,177","1,147,665"
中華民國,廢棄之城,2021/10/29,7,355,"81,400","6,204","1,442,855"
中華民國,回眸,2021/10/22,4,174,"38,725","5,250","1,187,294"
中華民國,鱷魚,2021/10/08,1,25,"5,500","11,469","2,705,624"
中華民國,醬狗,2021/09/24,1,48,"11,040","1,170","258,619"
中華民國,靈語,2021/05/12,3,23,"5,200","15,584","3,739,216"
中華民國,聽見歌 再唱,2021/04/16,7,401,"98,130","362,025","83,786,114"
中華民國,你的情歌,2020/01/02,50,882,"205,819","76,062","17,842,950"
中華民國,陪你很久很久,2019/10/25,1,17,"1,420","57,112","12,957,481"
中華民國,江湖無難事,2019/10/09,1,4,350,"42,624","9,230,798"
中華民國,返校,2019/09/20,1,6,500,"1,120,772","260,448,990"
中華民國,本日公休,2023/03/03,79,"23,052","4,920,321","41,792","9,340,767"
中華民國,關於我和鬼變成家人的那件事,2023/02/10,102,"131,643","31,923,842","1,283,391","316,787,895"
中華民國,山椒魚來了,2023/02/10,31,"5,896","1,313,799","40,259","9,214,683"
中華民國,山中森林,2023/01/13,8,472,"84,954","59,947","14,272,252"
中華民國,我的婆婆怎麼把ＯＯ搞丟了,2023/01/13,1,4,"1,130","161,664","38,228,357"
中華民國,無邊,2023/01/06,1,97,"19,400","3,025","718,244"
中華民國,想見你,2022/12/30,7,194,"47,822","533,857","132,176,493"
中華民國,一起一起,2022/12/16,1,70,"15,620","4,415","1,043,067"
中華民國,家家,2022/12/16,1,8,"1,280","1,504","238,625"
中華民國,流麻溝十五號,2022/10/28,1,130,"28,600","176,190","39,864,665"
中華民國,悲情城市,2020/04/01,61,"11,822","2,798,662","53,626","13,410,228"
中華民國,Bra太子,2019/05/10,9,759,"162,855","1,962","411,494"
中華民國,幻術,2019/05/03,39,814,"191,500","10,209","2,365,680"
中華民國,阿虎,2019/05/03,8,244,"57,810","4,776","1,100,862"
中華民國,我們的青春，在台灣,2019/04/12,3,261,"61,275","13,817","3,100,059"
中華民國,一念,2019/04/12,1,7,"1,325","1,839","396,667"
中華民國,老大人,2019/03/22,1,36,"7,920","58,862","13,179,251"
中華民國,一吻定情,2019/02/14,2,188,"10,065","108,557","24,690,615"
中華民國,寒單,2019/01/23,3,69,"6,190","221,472","49,291,780"
中華民國,疾風魅影-黑貓中隊,2018/10/26,1,24,"5,120","17,010","3,635,028"
中華民國,角頭－浪流連,2021/02/05,100,"213,254","50,598,784","315,640","74,727,638"
中華民國,緝魂,2021/01/29,97,"51,551","12,347,894","131,154","30,992,568"
中華民國,ME,2021/01/29,7,65,"15,747","1,939","575,271"
中華民國,哭悲,2021/01/22,58,"1,525","355,649","33,560","7,652,970"
中華民國,叱咤風雲,2021/01/16,73,"10,653","2,518,818","123,752","29,054,086"
中華民國,牡丹還魂—白先勇與崑曲復興,2021/01/13,1,56,"13,550","2,819","585,325"
中華民國,少年阿堯,2021/01/08,7,112,"18,290","2,020","324,030"
中華民國,杏林醫院,2020/12/31,9,125,"28,994","126,964","29,231,646"
中華民國,腿,2020/12/24,2,29,"6,290","33,555","7,788,230"
中華民國,親愛的殺手,2020/12/04,2,65,"3,445","27,612","6,400,429"
中華民國,孤味,2020/11/06,8,"1,054","82,910","824,869","190,602,075"
中華民國,5x1,2020/11/06,1,50,"9,540",50,"9,540"
中華民國,親愛的房客,2020/10/23,1,44,"7,040","162,352","38,568,032"
中華民國,無聲,2020/10/15,3,77,"9,210","211,780","50,048,660"
中華民國,刻在你心底的名字,2020/09/30,6,357,"27,725","441,068","103,377,395"
中華民國,消失的情人節,2020/09/18,5,393,"33,410","139,075","32,213,945"
中華民國,費爾的旅程,2022/05/27,10,403,"92,228","2,123","485,510"
中華民國,還孩子做自己,2022/05/27,6,533,"85,380",962,"153,950"
中華民國,教練,2022/05/27,8,298,"68,612","2,461","545,951"
中華民國,給阿媽的一封信,2022/05/20,10,49,"11,595","2,113","453,100"
中華民國,再會啦  白宮,2022/05/20,8,34,"8,274","2,947","660,081"
中華民國,格瑞特真相,2022/05/13,3,1,230,270,"60,187"
中華民國,售命,2022/04/29,6,8,"1,950","17,633","3,232,443"
中華民國,頭七,2022/04/01,8,29,"6,480","121,096","27,716,165"
中華民國,咒,2022/03/18,27,603,"150,207","720,691","171,553,502"
